time,open,high,low,close,volume
2022-03-28 17:15:00,193.9454,193.9454,193.9454,193.9454,110.0
2022-03-28 17:30:00,193.5,193.5,193.5,193.5,100.0
2022-03-28 18:00:00,194.2,194.2,194.2,194.2,101.0
2022-03-28 19:45:00,195.32,195.33,195.0,195.05,976.0
2022-03-29 05:30:00,195.6,195.6,195.6,195.6,379.0
2022-03-29 07:45:00,196.36,196.36,196.35,196.35,497.0
2022-03-29 08:00:00,195.62,195.62,194.98,195.52,1440.0
2022-03-29 08:15:00,195.52,195.52,195.52,195.52,603.0
2022-03-29 08:30:00,195.62,195.75,195.62,195.75,713.0
2022-03-29 08:45:00,195.02,195.02,195.0,195.0,601.0
2022-03-29 09:00:00,194.9,196.5,194.9,196.5,533.0
2022-03-29 09:15:00,195.0,195.0,194.5,195.0,1410.0
2022-03-29 09:30:00,195.0,195.76,195.0,195.76,2620.0
2022-03-29 09:45:00,196.0,197.38,188.55,192.64,265840.0
2022-03-29 10:00:00,192.71,194.8,190.47,194.33,99990.0
2022-03-29 10:15:00,194.54,195.16,190.77,191.17,100177.0
2022-03-29 10:30:00,191.37,195.0,190.63,194.946,94918.0
2022-03-29 10:45:00,195.16,196.83,194.58,196.83,71624.0
2022-03-29 11:00:00,196.775,198.5,196.775,197.749,82627.0
2022-03-29 11:15:00,197.91,198.8,196.62,198.72,58542.0
2022-03-29 11:30:00,198.767,199.38,198.15,199.335,68408.0
2022-03-29 11:45:00,199.16,199.41,197.92,198.54,50254.0
2022-03-29 12:00:00,198.5,199.26,197.47,197.56,56376.0
2022-03-29 12:15:00,197.71,197.71,196.51,197.51,63867.0
2022-03-29 12:30:00,197.52,198.99,197.4,197.96,44174.0
2022-03-29 12:45:00,198.04,198.19,196.93,197.82,37025.0
2022-03-29 13:00:00,197.98,198.61,197.28,198.3,43695.0
2022-03-29 13:15:00,198.12,198.12,197.14,197.47,44657.0
2022-03-29 13:30:00,197.46,197.855,197.07,197.5225,29441.0
2022-03-29 13:45:00,197.5175,198.74,197.26,198.635,36048.0
2022-03-29 14:00:00,198.53,201.39,198.24,201.27,86932.0
2022-03-29 14:15:00,201.275,201.605,200.4461,201.57,50563.0
2022-03-29 14:30:00,201.51,201.75,200.85,201.2,44315.0
2022-03-29 14:45:00,201.22,201.58,200.77,201.54,55473.0
2022-03-29 15:00:00,201.43,201.46,200.84,201.28,40594.0
2022-03-29 15:15:00,201.22,201.26,200.79,200.89,61170.0
2022-03-29 15:30:00,200.82,201.25,199.8206,201.17,63389.0
2022-03-29 15:45:00,201.235,201.36,200.65,200.99,62151.0
2022-03-29 16:00:00,201.01,202.52,200.59,202.36,377749.0
2022-03-29 16:15:00,202.36,202.41,202.25,202.25,16879.0
2022-03-29 16:30:00,200.45,200.45,200.45,200.45,115.0
2022-03-29 16:45:00,200.92,202.36,200.92,202.36,5731.0
2022-03-29 17:00:00,202.3603,202.3674,202.3603,202.3674,278.0
2022-03-29 18:00:00,202.2867,202.2867,202.2867,202.2867,100.0
2022-03-29 18:45:00,201.7,201.7,201.7,201.7,234.0
2022-03-29 19:00:00,201.75,202.31,201.75,202.31,480.0
2022-03-30 07:30:00,201.49,201.49,201.49,201.49,201.0
2022-03-30 08:15:00,202.4,203.75,202.4,203.75,555.0
2022-03-30 08:30:00,201.5,201.5,201.2,201.2,437.0
2022-03-30 09:00:00,202.08,202.08,201.55,201.7,703.0
2022-03-30 09:15:00,201.72,203.88,201.15,203.88,6761.0
2022-03-30 09:45:00,201.73,203.85,197.74,203.31,142566.0
2022-03-30 10:00:00,203.23,203.47,200.07,201.0,109237.0
2022-03-30 10:15:00,200.76,201.42,199.14,200.61,46571.0
2022-03-30 10:30:00,200.78,202.25,199.7,202.25,61053.0
2022-03-30 10:45:00,202.1799,202.99,201.86,202.43,61009.0
2022-03-30 11:00:00,202.37,202.37,200.28,200.885,58361.0
